Voter,Gender,Party,Military,Overseas,Absentee,RegDate
v1,M,Democratic,N,N,Y,2010/1/1
v2,M,Democratic,N,N,Y,2010/1/1
v3,F,Democratic,N,N,Y,2012/7/4
v4,M,Republican,N,N,Y,2012/7/4
v5,M,Democratic,N,N,N,2010/1/1
v6,M,Republican,N,N,Y,2012/7/4
v7,F,Democratic,N,N,N,2010/1/1
v8,F,Republican,N,N,Y,2010/1/1
v9,M,Green,N,N,Y,2010/1/1
v10,M,Republican,N,N,N,2010/1/1
v11,M,Republican,N,N,N,2010/1/1
v12,M,Green,N,N,Y,2010/1/1
v13,M,Democratic,N,N,N,2010/1/1
v14,F,Republican,N,N,N,2012/7/4
v15,F,Democratic,N,N,Y,2010/1/1
v16,F,Green,N,N,N,2012/7/4
v17,M,Democratic,Y,N,Y,2010/1/1
v18,M,Democratic,N,Y,Y,2010/1/1
v19,F,Republican,N,N,N,2010/1/1
v20,M,Democratic,N,N,N,2010/1/1
v21,F,Green,N,N,N,2012/7/4
v22,M,Democratic,N,N,N,2012/7/4
v23,F,Republican,N,N,N,2012/7/4
v24,F,Democratic,N,N,N,2010/1/1
v25,M,Democratic,N,N,Y,2012/7/4
v26,M,Democratic,N,N,N,2012/7/4
v27,F,Republican,N,Y,Y,2010/1/1
v28,F,Democratic,N,N,N,2010/1/1
v29,M,Republican,N,N,Y,2010/1/1
v30,F,Republican,N,N,N,2012/7/4
v31,M,Republican,N,N,N,2012/7/4
v32,F,Democratic,N,N,N,2012/7/4
v33,M,Democratic,N,N,Y,2012/7/4
v34,M,Republican,N,N,Y,2012/7/4
v35,F,Republican,N,N,N,2010/1/1
v36,F,Democratic,N,N,N,2012/7/4
v37,F,Democratic,N,N,Y,2012/7/4
v38,M,Democratic,N,N,Y,2010/1/1
v39,F,Republican,N,N,N,2012/7/4
v40,M,Democratic,N,N,Y,2012/7/4
v41,F,Green,N,N,Y,2012/7/4
v42,F,Democratic,N,N,N,2010/1/1
v43,M,Democratic,N,N,N,2012/7/4
v44,M,Democratic,N,N,N,2012/7/4
v45,M,Democratic,N,N,N,2012/7/4
v46,M,Republican,N,N,N,2012/7/4
v47,F,Democratic,N,N,N,2010/1/1
v48,M,Republican,N,N,N,2012/7/4
v49,F,Republican,N,N,N,2010/1/1
v50,M,Democratic,N,N,N,2010/1/1
v51,F,Democratic,N,N,N,2012/7/4
v52,M,Democratic,N,N,Y,2010/1/1
v53,M,Green,N,N,N,2010/1/1
v54,M,Green,N,N,N,2012/7/4
v55,F,Democratic,N,N,N,2012/7/4
v56,M,Democratic,Y,N,Y,2010/1/1
v57,F,Republican,N,N,Y,2010/1/1
v58,M,Republican,N,N,N,2012/7/4
v59,M,Democratic,N,N,N,2012/7/4
v60,F,Democratic,N,N,N,2010/1/1
v61,M,Republican,Y,N,Y,2010/1/1
v62,M,Democratic,N,N,N,2012/7/4
v63,M,Republican,N,N,N,2010/1/1
v64,F,Republican,N,N,N,2010/1/1
v65,M,Democratic,N,N,Y,2012/7/4
v66,M,Democratic,N,N,N,2010/1/1
v67,F,Republican,N,N,Y,2010/1/1
v68,M,Democratic,N,N,Y,2012/7/4
v69,M,Republican,N,N,N,2012/7/4
v70,M,Green,N,N,N,2012/7/4
v71,M,Republican,N,N,N,2010/1/1
v72,F,Green,N,N,N,2010/1/1
v73,F,Green,N,N,N,2010/1/1
v74,M,Republican,N,N,Y,2012/7/4
v75,F,Democratic,N,N,Y,2010/1/1
v76,F,Republican,N,N,N,2012/7/4
v77,M,Republican,Y,N,Y,2010/1/1
v78,F,Democratic,N,N,Y,2012/7/4
v79,M,Republican,N,N,N,2010/1/1
v80,F,Democratic,N,N,N,2010/1/1
v81,M,Democratic,N,N,N,2012/7/4
v82,F,Democratic,N,N,Y,2010/1/1
v83,F,Democratic,N,N,N,2010/1/1
v84,M,Republican,N,N,N,2010/1/1
v85,F,Republican,N,N,N,2012/7/4
v86,M,Republican,N,N,N,2010/1/1
v87,F,Green,N,N,N,2012/7/4
v88,M,Democratic,N,N,N,2012/7/4
v89,M,Green,N,N,Y,2012/7/4
v90,F,Green,N,N,N,2010/1/1
v91,M,Democratic,N,Y,Y,2012/7/4
v92,M,Democratic,N,N,N,2010/1/1
v93,M,Democratic,Y,N,Y,2010/1/1
v94,M,Democratic,N,N,Y,2010/1/1
v95,F,Democratic,N,N,N,2012/7/4
v96,M,Republican,Y,N,Y,2012/7/4
v97,F,Republican,N,N,N,2010/1/1
v98,F,Democratic,N,N,N,2012/7/4
v99,F,Republican,N,N,N,2012/7/4
v100,F,Republican,N,N,N,2010/1/1
